,Brand Name,Name of the Product,Rating,No. of Ratings,Price,Return/Exchange,Expected Delivery,Availability,Other Details,Product URL
0,Visit the Kadence Store,"Kadence Frontier Series, Acoustic Guitar With/Wihtout EQ Die Cast Keys Combo (Bag,strap,strings and 3 picks) (Blue, Acoustic)",4 out of 5,"1,538 ratings","₹4,999.00",7 Days Replacement,-,In stock.,"★ Design - The High Gloss finish, Simple head design, Streamlined Cutaway Curvature makes the head and the body integrated, beautiful.
★ Size (40 inch) - Suitable for the guitarist over 10 years old, especially the beginners, students or adults.
★ Quality Strings -The surface is coated with a bronze coating which doest rust easliy and prolongs the use of the strings.
★ Adjustable Action - Built-in truss rod helps balance the tension caused by strings or temperature change, for a straight and durable neck.
★ Bridge - The Indian Rosewood bridge has high hardness, strong vibration conductivity, stable and rich tone transmission.
★ Accessories - Strap, Strings, Picks and Bag Included.
★ Semi Acoustic* (only in Electric Variant) - Built-in preamp for amplified use with volume control, 4 band EQ: bass, mid, treble and press.",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07547842ON38YVIM47X4&url=%2FKadence-Frontier-Acoustic-Wihtout-strings%2Fdp%2FB08PKJGRJB%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DGuitars%26qid%3D1656388220%26sr%3D8-1-spons%26psc%3D1%26smid%3DAM04Z7MH4HSDD&qualifier=1656388220&id=5814468191615971&widgetName=sp_atf
1,Visit the Kadence Store,"Kadence Frontier Jumbo Semi Acoustic Guitar With Die Cast Keys Super Combo (Bag, 1 pack Strings, Strap, Picks, Capo, Tuner (natural)",4 out of 5,"1,238 ratings","₹7,348.00",7 Days Replacement,-,In stock.,"QUALITY STRINGS ---The surface is coated with a film coating, which is not easy to rust, which prolongs the use time of the strings and reduces the burden on the fingers when pressing the strings.
DESIGN --- Simple head design, streamlined curvature makes the head and the body integrated, beautiful. The rosewood bridge has high hardness, strong vibration conductivity, stable and rich tone transmission.
SIZE (41 inch)---Suitable for the guitarist over 14 years old, especially the beginners, students or adults.
ADJUSTABLE ACTION----Built-in truss rod can balanced the tension caused by strings or temperature change shrinking, for a straight and durable neck. The adjustable acoustic guitar neck allows your hand to stay in a comfortable position by keeping the strings in a perfect height.
ELECTRO-ACOUSTIC---Built-in preamp for amplified use with volume control, 4 band EQ: bass and treble, integrated tuner for fast and easy tuning.
ACCURATE TUNE---- Kadence guitars employes 18:1 premium machine head, run very smooth, no slack. it can help you to lock the string in position and adjust the pitch more accurate.
Package Details:1 pack of Strings, picks, turner, bag, strap and capo",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0046612372SWJAK5T57D&url=%2FKadence-Frontier-Acoustic-Equalizer-Strings%2Fdp%2FB01HRIHH9E%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DGuitars%26qid%3D1656388220%26sr%3D8-2-spons%26psc%3D1&qualifier=1656388220&id=5814468191615971&widgetName=sp_atf
2,Visit the Gum-Tea Store,"Acoustic Guitar, 39 Inch Cutaway, 039C with Bag, Strings, Pick and Strap, Random Colour Left Handed Acoustic Guitar Cutaway 41 inch Full-size Beginner Guitar Package with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic) with Gig Bag, Tuner, Picks and Strap (Natural Bundle),",5 out of 5,1 rating,-,Non-Returnable,-,Only 2 left in stock.,"Design - The High Gloss finish, Simple head design, Streamlined Cutaway Curvature makes the head and the body integrated, beautiful. and can be used as electric guitar also.
Quality Strings -The surface is coated with a bronze coating which doest rust easliy and prolongs the use of the strings.
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Bridge - The Indian Rosewood bridge has high hardness, strong vibration conductivity, stable and rich tone transmission.",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01658601MJ3AK7QPFK79&url=%2FAcoustic-Guitar-Cutaway-Strings-Strap%2Fdp%2FB08NTC4KG4%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DGuitars%26qid%3D1656388220%26sr%3D8-3-spons%26psc%3D1&qualifier=1656388220&id=5814468191615971&widgetName=sp_atf
3,Visit the blueberry Store,"Blueberry 38C, 38"" Acoustic Guitar Kit with Bag, Strap, One Pack Strings And Picks (Black)",3.8 out of 5,16 ratings,-,7 Days Replacement,-,In stock.,"Material: Top: linden wood, Side & Back: - linden wood, Fingerboard:- ABS
Includes: 38-inch, acoustic guitar with Belt, bag, string set and 2 picks
Bridge：ABS, Neck: Catalpa wood, Machine head: Open, Finish- Glossy
Size 38-inch, Style - Cutway, innovative design to produce good quality sound
Note: Product design may slightly vary Due to Photography lighting effect",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0049561XBD14Z9O6GXG&url=%2FBlueberry-38C-Acoustic-Guitar-Strings%2Fdp%2FB08KLMV4XX%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DGuitars%26qid%3D1656388220%26sr%3D8-4-spons%26psc%3D1&qualifier=1656388220&id=5814468191615971&widgetName=sp_atf
4,Visit the JUAREZ Store,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black",4 out of 5,"16,251 ratings",-,7 Days Replacement,-,In stock.,"Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks
Great looks with an innovative design to produce good quality sound
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings",https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_5?keywords=Guitars&qid=1656388220&sr=8-5
5,Visit the Intern Store,"Intern INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black",4 out of 5,"10,366 ratings",-,7 Days Replacement,-,In stock.,"Great looks with an innovative design to produce sound
Real wood sound board with ebony wood fretboard and 38-inch cutaway design
Black glossy finish with 18 frets
Includes: 38-inch acoustic guitar with strap, bag, string set and 3 picks
Real wood binding and full wood construction with geared tuning, wood frame and steel strings
Bridge material: ABS reinforced long lasting
Product design may slightly vary
Linden binding and full wood construction with geared tuning, wood frame and steel strings ; Natural glossy finish with 18 frets",https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_6?keywords=Guitars&qid=1656388220&sr=8-6
6,Visit the JUAREZ Store,"Juarez Acoustic Guitar Kit, 38 Inch Cutaway, 38C with Bag, Strings, Pick and Strap, TBS Transparent Blue Sunburst",4 out of 5,"5,347 ratings",-,7 Days Replacement,-,In stock.,"Black glossy finish, number of frets: 18, acoustic guitar with strap, bag, strings and 2 picks. Hand Orientation: Right
Great looks with an innovative design to produce sound
Finger board: Linden wood, fretboard - Ebony wood, size: 38 inches, cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden binding and full wood construction with geared tuning, wood frame and steel strings
An able acoustic guitar, its neck material is made from Linden Wood, bridge material is made from plastic, finger board and back material is made from Linden Wood, string is made from nylon, and sides material is made from Linden
Please email brand at support@p to get product serviced/Replaced",https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDS6/ref=sr_1_7?keywords=Guitars&qid=1656388220&sr=8-7
7,Brand: Fender,Fender CD 60 Dread V3 DS 6 String Acoustic Guitar - Walnut Fretboard-Black,4.3 out of 5,982 ratings,-,7 Days Replacement,-,In stock.,"Dreadnought body style spruce top with scalloped ""x"" bracing, mahogany back and sides black, natural or sunburst gloss finish walnut fingerboard/bridge
Body back: Laminated mahogany body sides: Laminated mahogany body top: Spruce body finish: Gloss polyurethane body shape: Dreadnought bracing: Scalloped x rosette: White pearloid acrylic
Neck material: Mahogany neck binding: N/a neck finish: Gloss urethane neck shape: ""c"" shape scale length: 25.3"" (643 mm). Nut Width : 1.69"" (43 mm)
Hardware bridge: Walnut bridge pins: White with black dots hardware finish: Chrome tuning machines: Die-cast pickguard: 1-ply black
Miscellaneous strings: Fender dura-tone 880l coated 80/20 (.012-.052 gauge)",https://www.amazon.in/Fender-Dread-String-Acoustic-Guitar/dp/B07RM4B5LJ/ref=sxin_14?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df%3Aamzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df&creativeASIN=B07RM4B5LJ&cv_ct_cx=Guitars&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=Guitars&linkCode=oas&pd_rd_i=B07RM4B5LJ&pd_rd_r=375af453-2fa5-4397-9593-0f6bd6b12655&pd_rd_w=OHzGl&pd_rd_wg=026L7&pf_rd_p=9e10f444-3bae-445e-87e0-7b61ac6588df&pf_rd_r=K8JG12XFMRK7DEY713BB&qid=1656388220&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=sm-content-21
8,Visit the YAMAHA Store,"Yamaha FS100C Acoustic Guitar, Natural",4.4 out of 5,259 ratings,-,7 Days Replacement,-,In stock.,"Quality and tone, Number of Frets: 21
Share every bit of the passion that ignites our premium ranges
Perfect instrument for student or seasoned player alike
Yamaha acoustic guitar offers the same focus on quality, design and sound
Mahogany Neck. Nato Fret board. Rosewood Bridge",https://www.amazon.in/Yamaha-FS100C-Acoustic-Guitars-Natural/dp/B00QKD79QE/ref=sxin_14?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df%3Aamzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df&creativeASIN=B00QKD79QE&cv_ct_cx=Guitars&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=Guitars&linkCode=oas&pd_rd_i=B00QKD79QE&pd_rd_r=375af453-2fa5-4397-9593-0f6bd6b12655&pd_rd_w=OHzGl&pd_rd_wg=026L7&pf_rd_p=9e10f444-3bae-445e-87e0-7b61ac6588df&pf_rd_r=K8JG12XFMRK7DEY713BB&qid=1656388220&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=sm-content-21
9,Visit the Kadence Store,"Kadence Guitar Acoustica Series, 41” Jumbo Size 6-strings Acoustic Guitar, Spruce body with Pick Guard A311 with bag",4.2 out of 5,202 ratings,"₹7,499.00",7 Days Replacement,-,In stock.,"CLASSIC DESIGN ---Elegant inlay provides a classic, acoustic look, dreadnaught shape; included pickguard underneath the guitar sound hole to protect from pick scratches while playing
QUALITY STRINGS ---The surface is coated with a film coating, which is not easy to rust, which prolongs the use time of the strings and reduces the burden on the fingers when pressing the strings.
DESIGN---The Deep Pore paint finish, Simple head design, streamlined curvature makes the head and the body integrated, beautiful. The rosewood bridge has high hardness, strong vibration conductivity, stable and rich tone transmission.
SIZE ---Suitable for the guitarist over 14 years old, especially the beginners, students or adults.
ADJUSTABLE ACTION----Built-in truss rod can balanced the tension caused by strings or temperature change shrinking, for a straight and durable neck. The adjustable acoustic guitar neck allows your hand to stay in a comfortable position by keeping the strings in a perfect height.
ACCURATE TUNE---- Kadence guitars employes 18:1 premium machine head, run very smooth, no slack. it can help you to lock the string in position and adjust the pitch more accurate.",https://www.amazon.in/Kadence-6-strings-Acoustic-Guitar-Natural/dp/B07JKYWGJN/ref=sxin_14?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df%3Aamzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df&creativeASIN=B07JKYWGJN&cv_ct_cx=Guitars&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=Guitars&linkCode=oas&pd_rd_i=B07JKYWGJN&pd_rd_r=375af453-2fa5-4397-9593-0f6bd6b12655&pd_rd_w=OHzGl&pd_rd_wg=026L7&pf_rd_p=9e10f444-3bae-445e-87e0-7b61ac6588df&pf_rd_r=K8JG12XFMRK7DEY713BB&qid=1656388220&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=sm-content-21
