,Brand,Phone name,Colour,RAM,Storage(ROM),Primary Camera,Secondary Camera,Display Size,Battery Capacity,Price,URL
0,POCO,C31,Royal Blue,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),5000 mAh,"₹9,499",https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=98eaf553-2cae-4e59-81ae-d5e974041170.MOBG73E7GKQK4KZP.SEARCH&ppt=hp&ppn=homepage&ssid=xqnl3aimy80000001656391465692&qH=1036ba3c4ed2c021
1,REDMI,10,Pacific Blue,4 GB,64 GB,50MP + 2MP,-,17.02 cm (6.7 inch),6000 mAh,"₹10,499",https://www.flipkart.com/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW1PUFXX&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=98eaf553-2cae-4e59-81ae-d5e974041170.MOBGC9GYCHQZK9GW.SEARCH&ppt=hp&ppn=homepage&ssid=xqnl3aimy80000001656391465692&qH=1036ba3c4ed2c021
2,POCO,C31,Shadow Gray,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),5000 mAh,"₹9,499",https://www.flipkart.com/poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHSM0ZN5&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=98eaf553-2cae-4e59-81ae-d5e974041170.MOBG73E7UBFXXMCH.SEARCH&ppt=hp&ppn=homepage&ssid=xqnl3aimy80000001656391465692&qH=1036ba3c4ed2c021
3,Infinix,HOT 12 Play,Horizon Blue,4 GB,64 GB,13MP + Depth Lens,8MP Front Camera,17.32 cm (6.82 inch),6000 mAh,"₹8,699",https://www.flipkart.com/infinix-hot-12-play-horizon-blue-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KYCFZA7BRB&lid=LSTMOBGE2KYCFZA7BRBUNTJVL&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=98eaf553-2cae-4e59-81ae-d5e974041170.MOBGE2KYCFZA7BRB.SEARCH&ppt=hp&ppn=homepage&ssid=xqnl3aimy80000001656391465692&qH=1036ba3c4ed2c021
4,REDMI,9i Sport,Carbon Black,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),5000 mAh,"₹8,799",https://www.flipkart.com/redmi-9i-sport-carbon-black-64-gb/p/itm17ed463dc779a?pid=MOBG6WQWRGRRDBH6&lid=LSTMOBG6WQWRGRRDBH6BCUNBA&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=98eaf553-2cae-4e59-81ae-d5e974041170.MOBG6WQWRGRRDBH6.SEARCH&ppt=hp&ppn=homepage&ssid=xqnl3aimy80000001656391465692&qH=1036ba3c4ed2c021
5,REDMI,9i Sport,Coral Green,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),5000 mAh,"₹8,799",https://www.flipkart.com/redmi-9i-sport-coral-green-64-gb/p/itmb5e8d8186b602?pid=MOBG6WQWJRFZ5WDG&lid=LSTMOBG6WQWJRFZ5WDGEZXWFI&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=98eaf553-2cae-4e59-81ae-d5e974041170.MOBG6WQWJRFZ5WDG.SEARCH&ppt=hp&ppn=homepage&ssid=xqnl3aimy80000001656391465692&qH=1036ba3c4ed2c021
6,REDMI,10,Caribbean Green,4 GB,64 GB,50MP + 2MP,-,17.02 cm (6.7 inch),6000 mAh,"₹10,499",https://www.flipkart.com/redmi-10-caribbean-green-64-gb/p/itmbfb8dfcdd6e10?pid=MOBGC9GYQGGKWEU3&lid=LSTMOBGC9GYQGGKWEU3NDJY6R&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=98eaf553-2cae-4e59-81ae-d5e974041170.MOBGC9GYQGGKWEU3.SEARCH&ppt=hp&ppn=homepage&ssid=xqnl3aimy80000001656391465692&qH=1036ba3c4ed2c021
7,POCO,C31,Royal Blue,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),5000 mAh,"₹8,499",https://www.flipkart.com/poco-c31-royal-blue-32-gb/p/itm9656ebd21e0b3?pid=MOBG73E7ZBHHQ3RB&lid=LSTMOBG73E7ZBHHQ3RBDYSPVO&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=98eaf553-2cae-4e59-81ae-d5e974041170.MOBG73E7ZBHHQ3RB.SEARCH&ppt=hp&ppn=homepage&ssid=xqnl3aimy80000001656391465692&qH=1036ba3c4ed2c021
8,REDMI,Note 10T 5G,Graphite Black,6 GB,128 GB,48MP Primary Camera + 2MP Macro Lens + 2MP Depth Sensor,-,16.66 cm (6.56 inch),5000 mAh,"₹13,999",https://www.flipkart.com/redmi-note-10t-5g-graphite-black-128-gb/p/itm2473a60f98194?pid=MOBGC7QFR6XRTYRF&lid=LSTMOBGC7QFR6XRTYRFBDXMSP&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=98eaf553-2cae-4e59-81ae-d5e974041170.MOBGC7QFR6XRTYRF.SEARCH&ppt=hp&ppn=homepage&ssid=xqnl3aimy80000001656391465692&qH=1036ba3c4ed2c021
9,Infinix,HOT 12 Play,Racing Black,4 GB,64 GB,13MP + Depth Lens,8MP Front Camera,17.32 cm (6.82 inch),6000 mAh,"₹8,699",https://www.flipkart.com/infinix-hot-12-play-racing-black-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KYNTFHTXUW&lid=LSTMOBGE2KYNTFHTXUWDFJ0XM&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=98eaf553-2cae-4e59-81ae-d5e974041170.MOBGE2KYNTFHTXUW.SEARCH&ppt=hp&ppn=homepage&ssid=xqnl3aimy80000001656391465692&qH=1036ba3c4ed2c021
